str:bruno jose maria  int:-10 -4 4  float:-0.00 3.00 9.00  p:(3.8,1.3) (-4.8,-4.2) 
str:clara jose paula  int:-2 3  float:-1.50 2.70 3.40  p:(2.4,3.8) (-2.8,-3.8) 
str:clara jose rafaela  int:-8 2  float:-9.10 -0.10 7.40  p:(-0.8,1.3) 
str:henrique jose maria  int:-7 6 10  float:-2.40 7.20 8.00  p:(-2.3,1.0) (3.3,-5.0) 
str:bruno clara  int:-10 -9 8 10  float:-0.60 -0.30 5.50  p:(0.3,2.6) 
str:jose juliana  int:-8 -6 -2 10  float:-4.10 -3.40 8.10  p:(-0.2,-0.0) 
str:jose julia lucas  int:-10 -6 2 2  float:-8.60  p:(-1.6,-4.9) (-4.5,-3.5) 
str:clara jose lucas paula  int:0 5  float:-9.20  p:(3.4,-0.3) (-4.5,2.1) 
str:ana juliana  int:-9 -6  float:-9.90  p:(-3.9,-2.1) 
str:ana julia juliana juliana  int:-10 -5 10  float:-0.50 6.10  p:(0.1,-0.9) (-2.1,-0.4) 
str:ana joao  int:-4 -2 10  float:0.80 5.70 6.40  p:(-0.5,0.9) (-1.6,0.7) 
str:julia lucas  int:-10 2 5 10  float:-5.30 1.00  p:(-1.5,-2.4) (2.4,-3.0) 
str:clara julia julia juliana  int:-10 4 9  float:4.50  p:(4.4,-1.8) 
str:ana carlos clara lucas  int:-9 -4 -1 6  float:-7.30 0.80 5.50  p:(3.7,-1.5) (4.1,-2.6) 
str:ana carlos henrique joao  int:-1 8  float:-4.70 1.00  p:(1.9,-1.7) (3.5,1.9) 
str:ana bruno jose maria  int:-10 10  float:7.00  p:(3.9,-3.1) 
str:carlos lucas  int:-8 7 10  float:-1.60 2.20  p:(-2.6,-0.9) (-3.8,-2.6) 
str:carlos carlos paula  int:-3 8 9  float:-0.10 1.30 5.90  p:(-0.0,-1.0) (4.5,1.0) 
str:bruno clara henrique maria  int:-1 9  float:-8.90 1.20  p:(-1.0,-1.4) (4.3,-4.4) 
str:ana bruno julia maria  int:-7 -5  float:-9.10  p:(0.9,-0.4) 
str:bruno bruno lucas lucas  int:-9 -7 -4 -3  float:-9.10 0.90  p:(2.0,-1.3) 
str:clara clara lucas  int:-8 0 3 9  float:-6.60  p:(-0.6,-0.1) 
str:carlos jose jose jose  int:-7 -5 4  float:-5.40 -1.50  p:(3.4,-4.7) (3.6,4.7) 
str:henrique maria  int:-2 -1 10  float:1.20 7.20  p:(-3.7,0.5) (4.5,1.7) 
str:henrique lucas  int:-6 -6 6  float:4.90  p:(0.1,2.3) 
str:paula rafaela  int:-3 -2 3  float:-4.60  p:(1.2,3.7) (-3.9,2.8) 
str:juliana paula rafaela  int:-8 -6 -4 7  float:-8.50 -5.30  p:(-2.2,-0.3) 
str:carlos maria paula rafaela  int:2 5 6 9  float:3.70  p:(-1.6,1.6) (4.0,-4.4) 
str:ana joao joao jose  int:2 6  float:6.20 7.40 7.50  p:(1.2,2.8) 
str:bruno henrique juliana paula  int:-5 0 1 10  float:-5.40 0.10 0.80  p:(3.5,2.2) 
str:juliana rafaela rafaela  int:-9 -6 3 9  float:6.50  p:(-3.3,1.8) (3.5,-3.1) 
str:henrique julia julia  int:-6 -1 10  float:-9.90  p:(3.4,1.1) 
str:clara paula paula rafaela  int:-7 10  float:-4.40  p:(1.3,3.1) 
str:clara jose  int:-8 1  float:3.50 3.60 9.00  p:(3.2,4.2) 
str:henrique joao julia paula  int:-8 9  float:-7.50 -2.90  p:(2.0,-2.3) (-2.2,-5.0) 
str:bruno carlos paula  int:-6 4  float:1.60  p:(-0.4,0.7) (3.2,-1.2) 
str:bruno jose julia  int:-6 -6 -2 3  float:-5.40 -4.30 0.40  p:(2.3,-1.6) 
str:bruno jose juliana  int:1 2 3 5  float:-7.10 -1.20 4.80  p:(-2.6,2.1) (-3.6,-1.8) 
str:henrique julia julia  int:-9 -3 9  float:4.90 7.20  p:(-4.7,-0.8) 
str:clara clara julia juliana  int:-7 1 3 8  float:-9.60 -3.60 8.40  p:(-1.9,-0.3) (2.9,-1.8) 
str:carlos lucas rafaela  int:-3 4 5  float:5.30  p:(-1.2,4.1) 
str:ana carlos henrique rafaela  int:1 5  float:-5.70 1.60  p:(5.0,-0.3) (-4.6,-3.3) 
str:joao jose rafaela  int:-5 1  float:-1.90  p:(1.2,-2.0) (-2.4,-4.7) 
str:carlos lucas  int:-10 -8 -2 6  float:-0.50 1.30  p:(-1.5,1.9) 
str:bruno bruno  int:-10 -9 -4 2  float:9.00  p:(1.1,5.0) (-3.7,-3.9) 
str:clara maria paula  int:2 3  float:-4.00 2.10  p:(2.9,4.4) (3.9,-4.1) 
str:carlos jose lucas maria  int:-2 -1 2  float:4.60  p:(2.9,2.9) (3.8,-3.4) 
str:bruno maria  int:-10 -4 3 5  float:-6.90 -2.00 0.60  p:(-2.3,-2.8) (-2.5,-4.6) 
str:ana bruno joao rafaela  int:-9 -5  float:-2.90 5.80  p:(-0.3,-2.6) (3.4,-2.9) 
str:joao joao julia  int:3 5 10  float:6.80  p:(-3.1,-1.7) 
str:lucas paula  int:-4 2 6 10  float:-8.60 4.80 8.20  p:(-3.4,-4.4) 
str:bruno paula rafaela  int:-8 1 2 2  float:4.10 4.10  p:(2.0,-2.0) (2.2,2.8) 
str:carlos clara jose rafaela  int:-5 6  float:-5.10 -2.60 5.60  p:(2.7,3.3) 
str:ana bruno henrique joao  int:-9 1 3  float:-2.60 0.20 5.30  p:(-3.4,2.4) (-4.5,-1.0) 
str:ana paula  int:-1 6  float:-8.60 -8.30  p:(-3.6,3.8) 
str:bruno bruno paula  int:-5 7 9  float:-5.10 -3.40 3.10  p:(-0.8,-4.5) 
str:bruno clara lucas maria  int:-8 -1  float:-9.10  p:(-0.3,-2.3) 
str:carlos jose  int:-10 -4 -4  float:-3.60 3.00  p:(-4.2,0.1) 
str:henrique julia  int:-4 7  float:-0.70  p:(2.0,-2.0) 
str:clara jose paula  int:-4 0 2  float:-8.40 1.30  p:(3.6,4.2) 
str:jose rafaela  int:-8 -8 2  float:-8.00 8.10  p:(-3.6,-4.3) 
str:henrique henrique julia  int:-7 4  float:-7.90 2.60 3.90  p:(1.7,2.8) (3.7,-3.8) 
str:ana carlos carlos juliana  int:-7 -2 9  float:1.10 2.20  p:(1.9,-4.0) (4.0,2.8) 
str:jose jose  int:-7 -6 7  float:0.90  p:(3.5,0.7) (0.2,-3.7) 
str:ana bruno carlos juliana  int:-8 0 2 4  float:-0.80 0.10 6.50  p:(-3.8,-2.8) (4.9,-0.7) 
str:jose paula  int:-10 -5 2 5  float:-8.20 -4.60 6.20  p:(3.9,1.0) (1.9,4.9) 
str:ana bruno julia maria  int:3 3 8 9  float:-0.20 1.00 4.00  p:(-1.0,3.4) 
str:bruno bruno henrique joao  int:-9 -3  float:0.30  p:(-1.0,-1.1) 
str:bruno lucas  int:0 7  float:-9.80  p:(-2.6,2.1) 
str:ana clara  int:-6 8 9  float:-6.40  p:(0.9,-2.7) (-3.6,0.3) 
str:ana carlos clara rafaela  int:-4 -3 -3  float:-7.30 1.00 4.20  p:(0.3,2.9) 
str:julia juliana paula  int:2 2 8  float:-8.90 -6.60 1.00  p:(-0.4,-3.2) 
str:clara clara juliana juliana  int:-3 -2 8 8  float:-7.40 -0.40 5.30  p:(0.1,0.8) (4.3,-3.6) 
str:henrique jose paula paula  int:-9 6  float:0.40 5.80 7.80  p:(2.3,-2.7) 
str:carlos rafaela  int:-10 4 10  float:-5.60 9.50  p:(-2.2,1.8) (-3.1,0.2) 
str:henrique henrique joao jose  int:-8 0  float:7.40  p:(1.1,-4.9) 
str:henrique joao lucas  int:-7 -6  float:2.30  p:(-0.1,2.8) (-2.3,-4.4) 
str:carlos henrique joao  int:-8 0 10  float:-7.60 -0.60 9.00  p:(0.0,3.7) (4.9,0.8) 
str:ana bruno carlos clara  int:2 7  float:-0.10 0.10 5.50  p:(4.1,-1.2) (-1.8,4.0) 
str:joao rafaela  int:-10 -7 1 9  float:-1.90 -1.40 1.80  p:(4.2,-2.2) 
str:bruno julia maria paula  int:2 7  float:3.50 7.50  p:(3.4,2.4) (2.0,4.2) 
str:carlos jose julia rafaela  int:-8 -6 1 7  float:-3.10 1.50 4.30  p:(0.0,-1.7) (-0.2,4.7) 
str:lucas maria  int:2 7 9  float:-9.40 -3.70 1.10  p:(-1.9,0.8) (0.6,-3.4) 
str:carlos henrique joao jose  int:-4 -4 0 9  float:3.30  p:(-4.3,2.4) 
str:jose jose paula rafaela  int:1 6  float:-7.10 7.60  p:(3.6,1.5) (4.1,3.8) 
str:jose juliana paula  int:-9 -8 4 5  float:-9.50 -7.20 8.00  p:(-2.7,-0.2) (-3.5,4.7) 
str:bruno jose paula  int:2 4 10  float:-8.30 -1.90 2.70  p:(0.6,1.7) 
str:ana carlos henrique jose  int:-10 -3  float:-10.00 -1.20  p:(-3.3,1.7) 
str:clara joao julia juliana  int:-10 4 7 10  float:3.20 7.20 9.80  p:(1.6,-3.1) (-4.4,4.4) 
str:julia paula  int:-9 -7 5 7  float:-2.90 6.30 8.10  p:(2.6,-1.2) (-3.5,4.4) 
str:paula rafaela  int:0 10  float:-5.90 -5.60  p:(-3.3,3.2) 
str:joao joao jose julia  int:3 5  float:-8.90  p:(-3.6,4.2) 
str:carlos julia rafaela  int:6 10  float:-8.30 10.00  p:(-1.0,-0.9) (-0.4,1.7) 
str:clara julia maria  int:-10 -8 5 7  float:0.90 4.70  p:(-1.4,-2.0) 
str:joao joao paula  int:-3 2 5  float:-6.50 6.80  p:(3.3,-2.6) (-2.6,3.8) 
str:carlos jose maria paula  int:-10 -4 8 9  float:-5.20  p:(1.6,4.4) 
str:clara clara julia paula  int:-10 4  float:-1.50 3.70  p:(-0.1,-3.2) 
str:ana rafaela  int:-4 2 5 5  float:9.50  p:(2.4,-4.1) 
str:lucas paula  int:3 5  float:-1.70 0.80 2.10  p:(2.2,-4.4) (4.0,4.9) 
str:bruno juliana maria  int:-6 4 4 8  float:0.00 1.90  p:(0.0,3.4) (-3.1,-4.1) 
str:clara julia maria  int:-9 -1 6  float:-8.70  p:(0.2,-2.8) (1.9,4.6) 
str:ana clara  int:-9 9 9  float:-6.80 3.20 9.70  p:(-2.4,1.9) (3.6,-2.1) 
str:clara julia lucas  int:6 8  float:-0.30 6.40  p:(-4.1,-0.5) 
str:bruno clara lucas maria  int:3 4 9  float:-2.50 1.10 8.90  p:(-0.9,-1.2) (2.5,-0.1) 
str:joao jose  int:-1 3 6  float:-7.60 -0.20 5.10  p:(1.7,-0.1) (-2.3,-4.5) 
str:paula paula  int:-10 -3 5 9  float:0.40 9.70  p:(-3.7,3.5) 
str:joao julia julia rafaela  int:-8 -6 0  float:-6.10 -2.80 9.60  p:(-3.8,0.8) 
str:ana carlos carlos rafaela  int:-5 -1  float:-4.30 -0.70 -0.30  p:(0.7,-4.8) 
str:joao jose  int:2 7  float:-5.30 2.00  p:(-4.8,2.0) (-4.5,-3.2) 
str:carlos clara julia  int:5 10  float:2.20 6.70  p:(-1.0,-1.2) (-2.8,-4.3) 
str:ana henrique joao  int:-5 -1 -1 0  float:-7.60 6.90  p:(-0.1,1.6) (-1.0,1.5) 
str:carlos clara  int:-4 7  float:2.70  p:(2.3,0.3) 
str:bruno bruno bruno henrique  int:-5 0 0 7  float:-9.00  p:(-1.6,4.9) 
str:bruno julia rafaela  int:-4 -3 8  float:5.00 8.10  p:(-3.5,-2.0) 
str:bruno carlos juliana rafaela  int:-10 -10 -7 7  float:5.10  p:(-3.7,4.9) 
str:lucas lucas  int:-8 3  float:1.00 5.20  p:(0.5,3.4) 
str:jose maria  int:-7 -3  float:-5.70 0.90 8.80  p:(0.4,0.8) (-0.2,-2.5) 
str:carlos carlos rafaela  int:-5 3  float:6.00  p:(-3.4,-4.5) 
str:ana henrique  int:-9 -3 1  float:5.60  p:(-2.3,-0.2) (3.5,4.5) 
str:clara jose julia rafaela  int:-6 6  float:7.90 8.20  p:(-1.0,-0.7) (-0.5,-1.7) 
str:ana bruno joao juliana  int:-6 1 4  float:-5.10 -1.90  p:(-2.8,-0.1) (-4.4,4.4) 
str:bruno henrique jose  int:-8 0 3 4  float:-9.70 -0.80 1.20  p:(-4.1,0.1) 
str:henrique joao jose  int:-10 -10 -8 2  float:-3.60 0.30  p:(-1.7,-0.7) 
str:clara henrique joao jose  int:-9 -8 -3 10  float:-3.70 5.80  p:(-4.5,0.1) 
str:clara lucas  int:-6 -2 8  float:-1.10 6.30  p:(0.6,3.7) (-2.7,4.7) 
str:ana jose  int:6 8  float:8.20  p:(-3.5,2.5) 
str:carlos rafaela  int:-5 0 1 4  float:-4.70 6.00  p:(-4.9,-3.7) 
str:julia juliana paula  int:-9 -1 1 3  float:-8.00 -4.30  p:(3.4,-4.6) 
str:jose juliana paula  int:-8 -7 -4 10  float:-4.60  p:(-0.9,1.7) 
str:clara henrique lucas rafaela  int:-10 0 2 10  float:-5.50 -2.60 8.50  p:(0.4,-0.4) (-0.9,-1.2) 
str:maria paula  int:-4 -2 2  float:-0.40  p:(-1.9,3.5) 
str:carlos henrique joao  int:-2 5  float:1.20  p:(3.3,-4.3) 
str:carlos henrique joao lucas  int:-8 -1 8 9  float:-3.60 -2.10 9.20  p:(1.5,3.3) 
str:bruno maria paula paula  int:-8 -7 -1 10  float:-9.90 -4.10  p:(-1.7,2.9) (-0.8,-3.6) 
str:clara lucas  int:-3 -3  float:6.60 7.60  p:(-1.7,3.2) (-3.5,-2.4) 
str:henrique julia juliana lucas  int:-9 -3 8 8  float:-0.20 2.20 8.70  p:(2.6,-2.3) (-4.5,-1.7) 
str:bruno joao julia  int:-3 -3 -1 6  float:-9.50 8.90 8.90  p:(4.0,3.0) 
str:juliana juliana  int:-2 4  float:-9.30 -7.40 5.90  p:(-0.4,-1.2) (4.0,1.7) 
str:henrique jose rafaela  int:-4 -3 -2 -1  float:5.70  p:(-4.2,-2.7) (3.8,4.8) 
str:jose paula  int:-4 6 7 7  float:-2.90  p:(-3.6,0.2) (2.3,-4.9) 
str:paula rafaela  int:-2 -1 5  float:2.50  p:(-3.8,0.1) 
str:ana henrique joao lucas  int:-5 3  float:-5.80  p:(-0.5,1.2) (2.2,3.7) 
str:ana henrique joao  int:-6 1  float:-8.50 0.20  p:(4.9,0.8) 
str:ana joao rafaela  int:1 10  float:1.30 7.30  p:(0.5,1.2) (-3.1,-0.9) 
str:joao julia julia maria  int:-8 -5 -2 10  float:-9.80 -0.00 0.60  p:(-2.0,1.9) (3.5,3.3) 
str:carlos henrique  int:-1 6 7  float:3.60  p:(4.8,-3.3) 
str:carlos maria  int:-6 -1 5  float:8.60  p:(-0.8,-1.6) (-1.8,-0.2) 
str:jose juliana maria rafaela  int:-1 1 8  float:-9.90 -6.50  p:(-2.1,1.2) 
str:joao paula  int:5 5 6  float:0.00 8.70  p:(0.5,-4.7) (-4.6,1.7) 
str:ana jose  int:-2 0 2  float:-8.40 -8.20  p:(-3.0,-0.2) (-4.9,4.5) 
str:bruno bruno carlos  int:-9 -5 -1 7  float:-2.80 8.40  p:(3.9,1.3) (3.3,-3.0) 
str:henrique lucas lucas maria  int:-2 3 9  float:9.50  p:(-2.3,-2.1) (1.1,3.5) 
str:henrique henrique joao paula  int:-6 -5 -3 -1  float:5.40 6.80  p:(2.3,1.3) 
str:ana julia rafaela  int:-9 3 4 10  float:-8.70 -3.00 2.00  p:(-3.7,-0.8) (3.9,2.8) 
str:clara rafaela  int:1 10  float:-0.60  p:(-3.3,-1.1) 
str:carlos jose lucas rafaela  int:-4 0 5  float:0.60 3.60  p:(-2.2,-1.7) (3.6,2.9) 
str:henrique jose julia paula  int:-6 -2 1 4  float:-4.20 -4.20  p:(-0.1,-0.3) 
str:clara lucas  int:-10 -9 -7 -6  float:-2.70  p:(-2.9,-2.9) 
str:henrique joao jose juliana  int:6 7 7  float:-0.10 1.00 6.90  p:(0.5,1.2) (3.1,-3.7) 
str:ana bruno rafaela  int:3 6 6 7  float:0.60 2.30 3.60  p:(-1.1,-1.7) 
str:jose jose  int:-9 5 6  float:6.10  p:(-4.9,4.6) 
str:carlos henrique juliana maria  int:-10 -9 -9  float:-1.20  p:(3.4,2.3) 
str:juliana paula paula rafaela  int:-6 -3 5  float:-3.70  p:(2.0,0.9) 
str:joao jose rafaela rafaela  int:-10 4 8  float:-6.80 -0.80  p:(-1.7,0.2) 
str:clara henrique jose  int:-2 2 8 9  float:2.80  p:(0.7,-3.5) (-3.7,-3.9) 
str:joao juliana  int:-3 0  float:-9.50 1.00 4.20  p:(-3.5,2.5) (-4.6,-0.7) 
str:bruno joao  int:-6 -2 0  float:4.30  p:(-3.0,-3.4) (-4.8,-0.0) 
str:ana clara lucas lucas  int:-4 -1 5  float:-5.90 7.10  p:(2.6,-1.9) (3.8,-4.1) 
str:ana carlos jose  int:-5 0 9  float:-6.10  p:(2.1,-0.8) 
str:ana clara jose lucas  int:5 6 10  float:2.80  p:(3.0,4.3) (-5.0,3.1) 
str:ana julia rafaela  int:3 6  float:-9.10 3.30 5.80  p:(0.7,3.3) (-4.8,3.3) 
str:ana clara  int:0 6 7 9  float:-0.50 4.20  p:(-1.5,-0.7) (1.9,-2.6) 
str:bruno bruno joao paula  int:-7 -7 -2  float:-5.00 -1.00  p:(-3.2,-1.7) (-3.6,1.5) 
str:clara henrique maria  int:-8 -8 -4 -1  float:-6.70  p:(0.1,-0.8) (4.6,2.8) 
str:clara juliana lucas maria  int:-10 -1 3 10  float:4.10 5.50  p:(-0.1,-2.9) (-1.1,2.9) 
str:henrique paula  int:-5 -4  float:-5.80  p:(1.0,4.7) 
str:henrique joao  int:1 3 4  float:-2.20 -2.10 4.40  p:(-3.0,-1.4) (-4.2,3.0) 
str:carlos rafaela rafaela  int:-2 -1 4 6  float:-5.30 -0.30 3.20  p:(-4.9,-2.4) 
str:clara henrique henrique joao  int:-7 3 5  float:-8.20 -6.80 0.60  p:(-2.0,1.5) 
str:henrique maria  int:-3 2 10  float:-0.40 2.70 7.00  p:(-4.8,-1.0) 
str:jose lucas rafaela  int:-8 0 3 9  float:-9.30 1.40 3.50  p:(2.6,3.6) 
str:ana rafaela  int:-10 -5  float:-8.10 -7.40 -3.20  p:(-2.4,4.8) (-3.5,4.3) 
str:joao jose  int:-8 -3 6 10  float:-8.30 -4.60 7.00  p:(1.1,-2.3) (-2.4,-4.9) 
str:joao joao lucas  int:6 7 10  float:-6.40 1.10  p:(-2.0,2.5) 
str:ana rafaela rafaela  int:-1 6 7  float:-4.30 6.20 7.00  p:(-2.5,-2.3) (4.2,-2.1) 
str:ana juliana  int:-8 3 10  float:-5.20 -0.70 3.50  p:(-4.1,2.2) 
str:ana joao julia  int:-3 0 9  float:-4.50 2.50  p:(-0.1,4.1) (-2.8,3.8) 
str:joao julia lucas rafaela  int:-1 4 9  float:-7.10 4.80  p:(-0.8,-3.3) (2.1,-4.3) 
str:julia juliana lucas maria  int:-5 4  float:-2.40 7.50  p:(0.4,-4.3) (-4.8,4.1) 
str:ana bruno paula  int:-2 10  float:-5.70 6.60  p:(4.5,-1.0) 
str:bruno rafaela  int:-5 5  float:-5.60 5.10  p:(1.0,4.4) (-4.7,-3.1) 
str:carlos henrique julia  int:-6 4 6  float:-7.80 -2.20 4.40  p:(-0.4,-0.7) (-4.8,-2.7) 
str:ana henrique juliana  int:-4 0 4 10  float:0.60  p:(-4.8,-4.6) 
str:bruno clara julia  int:-7 -5 -3 2  float:4.90 4.90 7.80  p:(3.3,2.2) (-1.2,-4.7) 
str:ana bruno  int:-9 -6 -2 8  float:-5.30 0.00 0.80  p:(-3.2,-0.5) (-4.0,-0.9) 
str:bruno clara henrique  int:-6 -5 2 6  float:-7.30 0.60 6.70  p:(-0.3,-3.2) (3.9,-0.2) 
str:clara lucas  int:-1 1 5  float:-7.50 -3.20 0.60  p:(3.1,3.8) 
str:carlos henrique jose julia  int:-10 -4 0 5  float:7.30 7.50  p:(3.5,3.4) 
str:ana clara julia  int:-10 -4 0  float:-1.70 5.50  p:(-0.4,4.4) 
str:bruno henrique juliana  int:-10 -7 4 8  float:-6.40 -4.30 9.80  p:(2.9,3.1) (-4.5,-2.3) 
str:ana bruno julia paula  int:-10 -6  float:-8.20  p:(0.1,0.6) (2.1,-1.3) 
str:henrique jose lucas rafaela  int:0 4  float:6.30  p:(3.4,1.9) (4.0,-4.6) 
str:clara julia maria paula  int:-3 4  float:-9.60 -8.30 -7.70  p:(-4.0,2.3) (2.2,-4.9) 
str:clara julia maria  int:4 8  float:-4.40 3.90  p:(3.8,-2.0) 
str:carlos rafaela  int:1 1 1 2  float:-9.50 -4.10 9.30  p:(-0.5,2.6) 
str:jose juliana  int:3 4 6 6  float:0.40  p:(3.0,-0.9) (3.1,-3.9) 
str:bruno joao juliana paula  int:-3 4 5 8  float:-7.20  p:(-3.5,-3.0) 
str:bruno rafaela  int:-10 -3 6 8  float:1.50 6.10  p:(-0.7,2.0) 
str:bruno maria maria  int:9 10  float:-5.50 -2.30 2.70  p:(3.1,0.9) 
str:carlos clara rafaela  int:-9 -3 6 10  float:-2.80 4.60 7.50  p:(-1.9,-2.9) (1.0,4.1) 
str:bruno jose julia  int:-3 7  float:-7.70 8.10 9.80  p:(4.9,3.3) 
str:carlos henrique juliana maria  int:-2 8  float:-4.60 -0.20 6.20  p:(-1.1,-2.3) 
str:ana carlos  int:1 3 9  float:8.60  p:(0.6,1.7) (4.9,1.9) 
str:henrique lucas maria rafaela  int:-6 3  float:0.50  p:(2.3,-3.4) (-4.2,-1.7) 
str:ana carlos juliana  int:2 9 9  float:3.10 5.00 8.40  p:(-3.8,-3.1) 
str:ana jose  int:8 10  float:-9.20 0.80  p:(2.0,-0.0) 
str:carlos julia maria  int:-10 9  float:1.10  p:(4.6,-1.1) 
str:carlos clara maria rafaela  int:3 6  float:-1.50 -1.40  p:(-3.7,-3.3) 
str:henrique jose rafaela  int:-1 5 6 8  float:-7.50 2.10 4.60  p:(4.8,2.8) 
str:juliana juliana  int:-8 1 5  float:-3.70 9.90  p:(4.2,2.8) 
str:carlos juliana rafaela  int:1 5  float:-8.20 -5.70 10.00  p:(-4.3,-3.1) 
str:carlos julia maria  int:-9 -8 -1 3  float:3.40  p:(-2.8,-1.3) (-3.7,-1.5) 
str:carlos clara juliana lucas  int:-5 3 5  float:-3.30  p:(-3.3,-2.2) 
str:bruno carlos clara maria  int:6 10  float:-5.40 -3.70 -3.00  p:(-0.2,1.5) 
str:bruno jose julia  int:-3 -2 1 2  float:-9.80 -4.50 8.30  p:(-3.8,-0.5) (1.8,-4.9) 
str:bruno lucas  int:-6 -2 2  float:-0.20  p:(2.4,0.1) (4.7,0.8) 
str:ana clara clara paula  int:-9 -8 4 8  float:0.30 9.30  p:(1.8,2.4) (0.9,-4.9) 
str:carlos juliana  int:1 2  float:-4.10  p:(0.4,-3.4) (3.8,-0.4) 
str:carlos henrique juliana  int:1 5  float:-7.90 -0.20  p:(-0.5,-2.8) (4.8,4.1) 
str:bruno jose  int:-3 0  float:-7.70 2.60  p:(1.0,-0.3) 
str:henrique paula  int:-10 -9 -8 0  float:-7.30  p:(-1.6,0.2) (3.1,-3.9) 
str:ana ana joao lucas  int:-10 -7 -4 6  float:-8.30 6.00  p:(1.5,1.5) (3.3,3.7) 
str:bruno henrique joao rafaela  int:-9 -7 -2  float:-9.20 -4.00 -0.40  p:(2.2,-0.4) (-4.4,-2.5) 
str:lucas maria rafaela  int:-3 2 4 6  float:-7.90 -7.00 -3.40  p:(2.7,0.2) (-4.2,-4.8) 
str:carlos henrique jose julia  int:-8 0  float:-3.90 3.10  p:(2.5,4.7) 
str:ana jose  int:-8 0 9  float:2.30 7.70 9.80  p:(-1.4,-1.1) (-4.9,0.3) 
str:jose jose maria  int:-4 -2 -2 2  float:-3.70 0.80  p:(-1.9,-5.0) (-4.9,-2.2) 
str:ana clara joao  int:-10 0  float:-7.00 4.70  p:(2.6,4.0) (-5.0,3.3) 
str:joao juliana lucas  int:-10 -1 2  float:-5.10 6.60  p:(0.3,-2.5) (0.3,-4.4) 
str:ana henrique henrique joao  int:-10 -7 5  float:-9.60 5.20  p:(-0.1,-0.8) 
str:bruno julia maria paula  int:-6 -4 -1 6  float:-3.70 1.80 5.70  p:(1.9,-0.1) (1.1,-1.8) 
str:ana joao rafaela  int:-4 8  float:-0.70 0.70 4.20  p:(-4.4,-0.8) 
str:henrique jose  int:-1 9  float:-9.30  p:(-0.4,3.1) 
str:ana juliana juliana maria  int:7 8  float:-1.90 -1.70  p:(-0.7,-1.2) (-3.8,-0.4) 
str:bruno julia juliana lucas  int:-7 -1 8  float:8.40  p:(-4.6,-4.8) 
str:bruno jose maria maria  int:-10 -7 -6 -3  float:-2.40 0.90 6.20  p:(-0.6,2.6) (0.2,4.0) 
